epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,64324.8,0.97144,0.67314,0.96418,0.79845,0.80107,0.83168,0.61566,1.0712,0.60185,0.77882,0.002377,0.002377,0.002377
156,64745.6,0.98118,0.67907,0.9665,0.79271,0.80435,0.83137,0.61483,1.07089,0.60154,0.77873,0.0023275,0.0023275,0.0023275
157,65166.1,0.98476,0.67842,0.96663,0.79917,0.80171,0.83127,0.6152,1.07069,0.60152,0.77856,0.002278,0.002278,0.002278
158,65586.8,0.98164,0.67358,0.96507,0.78853,0.80675,0.83128,0.61555,1.07059,0.60087,0.77806,0.0022285,0.0022285,0.0022285
159,66007.3,0.96895,0.67224,0.96473,0.79769,0.80181,0.83196,0.61562,1.07043,0.60052,0.77794,0.002179,0.002179,0.002179
160,66428.1,0.97643,0.67136,0.96554,0.7955,0.80176,0.83189,0.61499,1.07041,0.60012,0.77797,0.0021295,0.0021295,0.0021295
161,66848.5,0.97039,0.66335,0.96439,0.79728,0.80141,0.83183,0.6145,1.07047,0.59991,0.77797,0.00208,0.00208,0.00208
162,67269.1,0.97046,0.66619,0.96338,0.79831,0.79942,0.83094,0.61507,1.07051,0.59998,0.77781,0.0020305,0.0020305,0.0020305
163,67689.7,0.96683,0.66329,0.96509,0.79845,0.79917,0.83115,0.61551,1.07056,0.59986,0.77757,0.001981,0.001981,0.001981
164,68110.6,0.96029,0.65799,0.95904,0.80601,0.789,0.83127,0.61496,1.07089,0.5998,0.77794,0.0019315,0.0019315,0.0019315
165,68531.1,0.96737,0.65729,0.96503,0.80724,0.78896,0.83056,0.61454,1.07085,0.59932,0.77759,0.001882,0.001882,0.001882
166,68951.8,0.96374,0.6575,0.96587,0.81526,0.78398,0.83048,0.61464,1.07096,0.59948,0.77741,0.0018325,0.0018325,0.0018325
167,69372,0.94854,0.64625,0.9612,0.81669,0.78217,0.83031,0.6145,1.07106,0.59923,0.77753,0.001783,0.001783,0.001783
168,69792.7,0.96029,0.64845,0.96043,0.8191,0.78112,0.82996,0.61519,1.07126,0.59943,0.77779,0.0017335,0.0017335,0.0017335
169,70213.2,0.95142,0.64469,0.96058,0.82471,0.77529,0.82978,0.61442,1.07162,0.59914,0.77787,0.001684,0.001684,0.001684
170,70633.9,0.95414,0.64318,0.95794,0.82633,0.77483,0.82991,0.61467,1.07235,0.59915,0.77784,0.0016345,0.0016345,0.0016345
171,71054.3,0.94764,0.63878,0.95528,0.8294,0.77339,0.82948,0.61471,1.07241,0.59843,0.77783,0.001585,0.001585,0.001585
172,71475,0.93716,0.63048,0.95021,0.82754,0.77471,0.82936,0.61421,1.07269,0.59843,0.77778,0.0015355,0.0015355,0.0015355
173,71895.4,0.94413,0.63221,0.95183,0.82732,0.77467,0.82919,0.61412,1.07238,0.59795,0.77746,0.001486,0.001486,0.001486
174,72316.2,0.93652,0.63354,0.95213,0.82959,0.77402,0.82915,0.6139,1.07233,0.59767,0.77723,0.0014365,0.0014365,0.0014365
175,72736.8,0.93656,0.63151,0.95548,0.82968,0.7742,0.82966,0.61332,1.07258,0.59739,0.77712,0.001387,0.001387,0.001387
176,73157.4,0.92349,0.61714,0.94691,0.83016,0.77396,0.82965,0.61339,1.07292,0.59679,0.77715,0.0013375,0.0013375,0.0013375
177,73577.6,0.93204,0.62048,0.9525,0.83155,0.77357,0.83002,0.61384,1.07285,0.59693,0.77715,0.001288,0.001288,0.001288
178,73998.4,0.93189,0.62339,0.95148,0.83501,0.77132,0.83062,0.6149,1.07304,0.59695,0.77709,0.0012385,0.0012385,0.0012385
179,74418.8,0.92891,0.6133,0.94954,0.83356,0.77201,0.8303,0.61568,1.07302,0.59706,0.77696,0.001189,0.001189,0.001189
180,74839.4,0.92269,0.61241,0.94869,0.82821,0.77554,0.83031,0.61514,1.07328,0.59661,0.77702,0.0011395,0.0011395,0.0011395
181,75259.7,0.9187,0.60994,0.94818,0.83867,0.77003,0.82995,0.61511,1.07343,0.59588,0.77718,0.00109,0.00109,0.00109
182,75680.2,0.91864,0.60874,0.94777,0.83881,0.7701,0.83001,0.6152,1.07312,0.59618,0.77691,0.0010405,0.0010405,0.0010405
183,76100.5,0.91326,0.60429,0.9448,0.83736,0.77067,0.83001,0.61483,1.07318,0.59579,0.77706,0.000991,0.000991,0.000991
184,76521.1,0.9148,0.59971,0.94214,0.83804,0.77003,0.82981,0.61475,1.07338,0.59603,0.7772,0.0009415,0.0009415,0.0009415
