epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,328.728,0.96389,0.6186,1.02016,0.75844,0.46575,0.52046,0.28591,1.92099,1.99648,1.48166,0.001307,0.001307,0.001307
72,333.136,0.92995,0.5927,0.99194,0.79944,0.60274,0.68303,0.38666,1.58372,1.27728,1.34895,0.0012971,0.0012971,0.0012971
73,337.395,0.91817,0.5849,1.00586,0.79476,0.60274,0.67763,0.3664,1.66698,1.29046,1.39974,0.0012872,0.0012872,0.0012872
74,341.769,0.94891,0.59912,1.00619,0.81877,0.49315,0.62593,0.35048,1.69452,1.52168,1.42492,0.0012773,0.0012773,0.0012773
75,346.122,0.93234,0.60044,1.01672,0.84751,0.42466,0.47318,0.26117,1.78035,2.21135,1.46468,0.0012674,0.0012674,0.0012674
76,350.543,0.92458,0.5963,1.01958,0.7042,0.56164,0.63245,0.38441,1.57901,1.73149,1.31997,0.0012575,0.0012575,0.0012575
77,354.899,0.91285,0.58116,0.99223,0.66728,0.61644,0.58743,0.33275,1.64133,1.67549,1.36534,0.0012476,0.0012476,0.0012476
78,359.242,0.90597,0.58695,1.00019,0.61994,0.39726,0.45415,0.27232,1.70911,2.24129,1.39946,0.0012377,0.0012377,0.0012377
79,363.578,0.936,0.58937,0.99526,0.68751,0.43836,0.51157,0.30074,1.68817,2.33259,1.41229,0.0012278,0.0012278,0.0012278
80,367.87,0.91595,0.58707,0.9975,0.81059,0.5277,0.6096,0.33263,1.63035,1.78302,1.3487,0.0012179,0.0012179,0.0012179
81,372.159,0.86631,0.55883,0.97446,0.66832,0.53425,0.59155,0.36489,1.49504,1.42706,1.26654,0.001208,0.001208,0.001208
82,376.547,0.88743,0.56318,0.99474,0.73367,0.52837,0.58077,0.35726,1.54691,1.61151,1.27694,0.0011981,0.0011981,0.0011981
83,380.828,0.91546,0.57464,0.99186,0.78437,0.49315,0.56627,0.34152,1.50558,1.56543,1.22752,0.0011882,0.0011882,0.0011882
84,385.151,0.92172,0.57983,1.00007,0.81103,0.65753,0.70341,0.37274,1.79975,1.36482,1.41537,0.0011783,0.0011783,0.0011783
85,389.474,0.86744,0.55976,0.98401,0.52888,0.57534,0.57298,0.32821,1.58402,1.50051,1.35295,0.0011684,0.0011684,0.0011684
86,393.841,0.87025,0.56109,0.99392,0.74864,0.64384,0.68989,0.38779,1.59525,1.20903,1.30816,0.0011585,0.0011585,0.0011585
87,398.236,0.91243,0.56052,1.01159,0.76447,0.61644,0.66556,0.39934,1.49081,1.38184,1.27433,0.0011486,0.0011486,0.0011486
88,402.591,0.86413,0.55465,0.98166,0.66642,0.60207,0.59302,0.32176,1.60701,1.67121,1.33203,0.0011387,0.0011387,0.0011387
89,406.924,0.8773,0.57196,1.00188,0.7204,0.63537,0.68226,0.39751,1.56585,1.36441,1.32096,0.0011288,0.0011288,0.0011288
90,411.248,0.89673,0.57348,1.00337,0.84529,0.60274,0.67662,0.37593,1.6754,1.43004,1.43313,0.0011189,0.0011189,0.0011189
91,415.636,0.83346,0.53089,0.97188,0.84184,0.64384,0.7198,0.39501,1.71925,1.37779,1.45267,0.001109,0.001109,0.001109
92,420.057,0.87059,0.551,0.97743,0.79058,0.65753,0.6722,0.37245,1.6828,1.45765,1.39572,0.0010991,0.0010991,0.0010991
93,424.372,0.83764,0.53691,0.97414,0.75873,0.64384,0.67467,0.41244,1.49577,1.42349,1.29913,0.0010892,0.0010892,0.0010892
94,428.78,0.8267,0.54401,0.9725,0.74637,0.53425,0.5986,0.36632,1.59822,1.93152,1.35479,0.0010793,0.0010793,0.0010793
95,433.086,0.8788,0.55289,0.9982,0.87421,0.53425,0.65404,0.4163,1.51762,1.51129,1.30497,0.0010694,0.0010694,0.0010694
96,437.467,0.82615,0.51473,0.97194,0.83268,0.61359,0.68874,0.4115,1.53595,1.46811,1.32386,0.0010595,0.0010595,0.0010595
97,441.852,0.84631,0.54625,0.96755,0.86877,0.42466,0.54431,0.33201,1.60205,1.78433,1.36001,0.0010496,0.0010496,0.0010496
98,446.259,0.85332,0.54883,0.96522,0.74008,0.69863,0.71519,0.45971,1.39455,1.13676,1.22533,0.0010397,0.0010397,0.0010397
99,450.544,0.81301,0.53006,0.9661,0.92761,0.60274,0.71691,0.42815,1.50633,1.37148,1.3234,0.0010298,0.0010298,0.0010298
100,454.874,0.80847,0.51445,0.95965,0.84635,0.60365,0.69479,0.43426,1.48392,1.41355,1.31858,0.0010199,0.0010199,0.0010199
101,459.192,0.80497,0.53776,0.94786,0.8637,0.60771,0.6892,0.41771,1.41,1.2676,1.19576,0.00101,0.00101,0.00101
102,463.603,0.78738,0.51019,0.96757,0.88433,0.60274,0.70174,0.42896,1.48764,1.31197,1.24794,0.0010001,0.0010001,0.0010001
103,467.964,0.8249,0.54253,0.98236,0.86195,0.58904,0.68083,0.39327,1.5253,1.41616,1.32265,0.0009902,0.0009902,0.0009902
104,472.264,0.7979,0.5078,0.9462,0.82508,0.52055,0.64935,0.37509,1.54825,1.48195,1.28465,0.0009803,0.0009803,0.0009803
105,476.635,0.78158,0.50942,0.94602,0.68024,0.72857,0.72226,0.42894,1.46994,1.20108,1.23973,0.0009704,0.0009704,0.0009704
106,480.921,0.77709,0.52125,0.95026,0.82084,0.50685,0.56312,0.35427,1.47984,1.87057,1.23144,0.0009605,0.0009605,0.0009605
107,485.302,0.77869,0.4967,0.95707,0.83331,0.54795,0.64895,0.38597,1.55721,1.7274,1.30874,0.0009506,0.0009506,0.0009506
108,489.746,0.79267,0.50657,0.9439,0.89934,0.54795,0.67646,0.41508,1.50217,1.68397,1.34493,0.0009407,0.0009407,0.0009407
109,494.057,0.81188,0.51923,0.95066,0.85585,0.63014,0.72217,0.42093,1.56039,1.60879,1.36002,0.0009308,0.0009308,0.0009308
110,498.444,0.78377,0.50406,0.95577,0.81355,0.61644,0.68922,0.41974,1.4667,1.27211,1.32808,0.0009209,0.0009209,0.0009209
111,502.755,0.81234,0.51955,0.96071,0.94727,0.49219,0.66333,0.38394,1.51903,1.27348,1.30484,0.000911,0.000911,0.000911
112,507.103,0.79363,0.50355,0.95828,0.90246,0.63376,0.74845,0.4278,1.46639,1.29965,1.2509,0.0009011,0.0009011,0.0009011
113,511.492,0.76904,0.5145,0.95725,0.93553,0.49315,0.64397,0.37424,1.53329,1.54876,1.26058,0.0008912,0.0008912,0.0008912
114,515.866,0.80101,0.51351,0.96571,0.8559,0.56962,0.67056,0.40268,1.48006,1.53115,1.23881,0.0008813,0.0008813,0.0008813
115,520.401,0.7559,0.47686,0.94096,0.9535,0.57534,0.71694,0.43933,1.48966,1.49558,1.23231,0.0008714,0.0008714,0.0008714
116,525.09,0.75264,0.48007,0.94988,0.79903,0.63014,0.71485,0.43563,1.51852,1.55511,1.26531,0.0008615,0.0008615,0.0008615
117,529.884,0.7967,0.49712,0.94017,0.86381,0.53425,0.68448,0.43169,1.49053,1.76451,1.30106,0.0008516,0.0008516,0.0008516
118,534.629,0.75551,0.48993,0.93313,0.82358,0.53425,0.66934,0.43678,1.42867,1.84514,1.24047,0.0008417,0.0008417,0.0008417
119,539.301,0.73692,0.48558,0.92003,0.88623,0.64384,0.73004,0.46498,1.45028,1.49316,1.28674,0.0008318,0.0008318,0.0008318
120,543.984,0.75611,0.48841,0.95387,0.80739,0.67123,0.71285,0.42174,1.52883,1.43053,1.29908,0.0008219,0.0008219,0.0008219
121,548.752,0.72378,0.47772,0.93469,0.92355,0.68493,0.76578,0.46671,1.41217,1.14495,1.2431,0.000812,0.000812,0.000812
122,553.298,0.7496,0.48643,0.92746,0.85696,0.56164,0.7056,0.43604,1.47572,1.58954,1.30111,0.0008021,0.0008021,0.0008021
123,557.621,0.73535,0.49362,0.9252,0.78703,0.56164,0.64623,0.39915,1.5122,1.73765,1.32791,0.0007922,0.0007922,0.0007922
124,562.135,0.73234,0.46482,0.92549,0.91491,0.57534,0.68085,0.37445,1.54613,1.7107,1.32726,0.0007823,0.0007823,0.0007823
125,567.044,0.72487,0.48521,0.94489,0.89192,0.52055,0.61883,0.34998,1.65539,1.67777,1.39403,0.0007724,0.0007724,0.0007724
126,571.405,0.74354,0.47404,0.94672,0.93649,0.60608,0.73208,0.43584,1.46568,1.37307,1.28323,0.0007625,0.0007625,0.0007625
127,575.862,0.70782,0.45184,0.91941,0.89077,0.55862,0.67433,0.40938,1.49956,1.43094,1.34192,0.0007526,0.0007526,0.0007526
128,580.155,0.71885,0.46436,0.93256,0.86313,0.60274,0.68623,0.41185,1.50077,1.41076,1.3333,0.0007427,0.0007427,0.0007427
129,584.673,0.74768,0.45985,0.92112,0.80556,0.69863,0.72181,0.41951,1.46512,1.26431,1.30778,0.0007328,0.0007328,0.0007328
130,589.042,0.75165,0.48126,0.95291,0.88409,0.62693,0.69301,0.42542,1.42571,1.41783,1.2773,0.0007229,0.0007229,0.0007229
131,593.301,0.7305,0.47365,0.93455,0.80381,0.60274,0.6776,0.41227,1.5367,1.48398,1.31398,0.000713,0.000713,0.000713
132,597.928,0.72372,0.4664,0.92315,0.69798,0.54795,0.60055,0.37092,1.58063,1.74715,1.32645,0.0007031,0.0007031,0.0007031
133,602.579,0.70636,0.45435,0.92319,0.86867,0.63014,0.70975,0.42882,1.58342,1.4761,1.35921,0.0006932,0.0006932,0.0006932
134,607.135,0.71669,0.47116,0.94419,0.81852,0.61784,0.67486,0.40208,1.53552,1.26806,1.31582,0.0006833,0.0006833,0.0006833
135,612.003,0.71464,0.45255,0.92528,0.84261,0.63014,0.64796,0.40175,1.46846,1.62489,1.25131,0.0006734,0.0006734,0.0006734
136,616.418,0.71279,0.44812,0.92314,0.83313,0.58904,0.69658,0.40581,1.53633,1.5942,1.31392,0.0006635,0.0006635,0.0006635
137,620.963,0.73188,0.46162,0.93077,0.81614,0.52055,0.63871,0.37329,1.54957,1.83904,1.30079,0.0006536,0.0006536,0.0006536
138,625.441,0.69792,0.45563,0.92165,0.94122,0.53425,0.67272,0.41202,1.45083,1.48561,1.25866,0.0006437,0.0006437,0.0006437
139,629.862,0.73681,0.4788,0.93377,0.83267,0.53425,0.64547,0.40328,1.44249,1.77678,1.26064,0.0006338,0.0006338,0.0006338
140,634.524,0.68489,0.44243,0.91974,0.73887,0.56164,0.63513,0.38299,1.45716,1.79258,1.24605,0.0006239,0.0006239,0.0006239
141,638.868,0.68777,0.43934,0.92139,0.81226,0.53344,0.60079,0.38122,1.44004,1.7616,1.23157,0.000614,0.000614,0.000614
142,643.292,0.65442,0.43508,0.89607,0.89904,0.54795,0.65998,0.40186,1.46935,1.60932,1.25762,0.0006041,0.0006041,0.0006041
143,647.836,0.67357,0.43144,0.91544,0.95068,0.52813,0.65456,0.40667,1.4608,1.69231,1.25226,0.0005942,0.0005942,0.0005942
144,652.259,0.66454,0.43864,0.92192,0.84124,0.61644,0.7225,0.46014,1.4786,1.51681,1.29877,0.0005843,0.0005843,0.0005843
145,656.68,0.6707,0.42529,0.92267,0.95652,0.60265,0.74151,0.46031,1.53755,1.47047,1.30473,0.0005744,0.0005744,0.0005744
146,660.905,0.66824,0.42051,0.90897,0.88816,0.57534,0.72148,0.44251,1.57128,1.7219,1.28738,0.0005645,0.0005645,0.0005645
147,665.285,0.64657,0.41977,0.91337,0.8434,0.59025,0.72006,0.4448,1.58619,1.75628,1.34696,0.0005546,0.0005546,0.0005546
148,669.794,0.65093,0.42584,0.90112,0.93473,0.58855,0.7437,0.4661,1.57546,1.6822,1.31699,0.0005447,0.0005447,0.0005447
