epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,23717.2,1.31962,0.73868,1.10805,0.78322,0.68961,0.7327,0.40058,1.37062,0.75257,1.15752,0.0043075,0.0043075,0.0043075
117,23853.5,1.31039,0.73818,1.10502,0.78408,0.6895,0.73241,0.4006,1.37066,0.75157,1.15732,0.004258,0.004258,0.004258
118,23972.7,1.31869,0.73858,1.10514,0.78331,0.69004,0.73277,0.40043,1.37061,0.75048,1.15712,0.0042085,0.0042085,0.0042085
119,24145.6,1.31646,0.73332,1.10697,0.78461,0.6906,0.73332,0.40057,1.37085,0.74986,1.15709,0.004159,0.004159,0.004159
120,24273,1.30741,0.7362,1.10468,0.78493,0.69053,0.73379,0.40094,1.37097,0.74942,1.15696,0.0041095,0.0041095,0.0041095
121,24397.9,1.29818,0.7257,1.10091,0.78487,0.6903,0.73324,0.40094,1.37138,0.74879,1.15705,0.00406,0.00406,0.00406
122,24516.9,1.30748,0.72616,1.10026,0.78474,0.69026,0.73326,0.40098,1.37142,0.74854,1.15703,0.0040105,0.0040105,0.0040105
123,24651.3,1.30472,0.72411,1.10124,0.78707,0.69048,0.73435,0.4015,1.37105,0.74795,1.15631,0.003961,0.003961,0.003961
124,24769.9,1.30073,0.72699,1.09836,0.78585,0.69115,0.7342,0.40167,1.37074,0.74709,1.15595,0.0039115,0.0039115,0.0039115
125,24926.3,1.30053,0.72302,1.09872,0.78669,0.69115,0.73454,0.40192,1.37047,0.74751,1.15585,0.003862,0.003862,0.003862
126,25039.6,1.29913,0.71906,1.09951,0.7879,0.6916,0.73546,0.4021,1.37015,0.74681,1.15551,0.0038125,0.0038125,0.0038125
127,25194.5,1.29831,0.71578,1.09424,0.78669,0.69149,0.73496,0.40201,1.37027,0.74659,1.15549,0.003763,0.003763,0.003763
128,25328,1.28329,0.71062,1.09157,0.78632,0.69134,0.73431,0.40203,1.37033,0.7463,1.15525,0.0037135,0.0037135,0.0037135
129,25479.8,1.28261,0.70611,1.08979,0.7861,0.69167,0.73434,0.40214,1.36971,0.74593,1.15501,0.003664,0.003664,0.003664
130,25620.3,1.28676,0.71015,1.09381,0.78472,0.69249,0.73454,0.40249,1.37007,0.746,1.155,0.0036145,0.0036145,0.0036145
131,25824.7,1.28824,0.71301,1.09325,0.78282,0.69282,0.73422,0.40249,1.3701,0.74589,1.15479,0.003565,0.003565,0.003565
132,26000,1.27714,0.70247,1.08769,0.782,0.69387,0.73477,0.40281,1.36979,0.74548,1.15447,0.0035155,0.0035155,0.0035155
133,26164.9,1.27863,0.70275,1.08946,0.78334,0.69549,0.73558,0.40304,1.36956,0.7453,1.15443,0.003466,0.003466,0.003466
134,26317.1,1.28778,0.70856,1.0911,0.78215,0.69529,0.73523,0.40305,1.36949,0.74463,1.1542,0.0034165,0.0034165,0.0034165
135,26443.3,1.27578,0.70227,1.09138,0.78271,0.69518,0.73595,0.40327,1.36934,0.74394,1.15409,0.003367,0.003367,0.003367
136,26612.3,1.26869,0.69715,1.08532,0.78224,0.69407,0.73576,0.40386,1.36857,0.74331,1.15375,0.0033175,0.0033175,0.0033175
137,26800.9,1.2716,0.69824,1.08519,0.7819,0.69505,0.73604,0.40397,1.36839,0.74288,1.15358,0.003268,0.003268,0.003268
